id,brand,model,price,memory,screen,camera,network,color,number_reviews,rating,delivery_time,pickup_time,date,webpage
9071621,apple,iphone 14,629.0,128 GB,6.1,12.0,5G,violet,6.0,5.0,7,7.0,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-14-5g-128-gb-6-1-12-mp-violett--p0009071621
14037024,xiaomi,redmi 12,179.95,256 GB,6.79,50.0,,black,,5.0,7,7.0,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/xiaomi-redmi-12-256-gb-schwarz-6-79-50-mp--p0014037024
6242450,apple,iphone 13,649.0,256 GB,6.1,12.0,5G,green,,5.0,7,7.0,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-13-5g-256-gb-6-1-12-mp-gr%C3%BCn--p0006242450
1018402,apple,iphone 13,649.0,256 GB,6.1,12.0,5G,polar star,3.0,5.0,7,7.0,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-13-5g-256-gb-6-1-12-mp-polarstern--p0002866481
13899736,apple,iphone 15 pro max,1599.0,1 TB,6.7,48.0,5G,nature titanium,,5.0,,,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-15-pro-max-1-tb-titan-natur-6-7-48-mp-5g--p0013899736
13899728,apple,iphone 15 pro max,1349.0,512 GB,6.7,48.0,5G,titanium black,,3.0,,,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-15-pro-max-512-gb-titan-schwarz-6-7-48-mp-5g--p0013899728
14074052,samsung,galaxy a15 5g,199.95,128 GB,6.5,50.0,5G,"black, blue",,,7,7.0,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/samsung-galaxy-a15-5g-128-gb-schwarz-blau-6-5-50-mp-5g--p0014074052
13899677,apple,iphone 15 plus,949.0,256 GB,6.7,48.0,5G,pink,,5.0,7,7.0,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-15-plus-256-gb-pink-6-7-48-mp-5g--p0013899677
9071627,apple,iphone 14,729.0,256 GB,6.1,12.0,5G,midnight,,5.0,7,7.0,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-14-5g-256-gb-6-1-12-mp-mitternacht--p0009071627
14103191,samsung,galaxy a55 5g,429.95,128 GB,6.6,50.0,5G,awesome navy,,,7,7.0,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/samsung-galaxy-a55-5g-128-gb-awesome-navy-6-6-50-mp-5g--p0014103191
14103190,samsung,galaxy a55 5g,479.95,256 GB,6.6,50.0,5G,awesome navy,,,7,7.0,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/samsung-galaxy-a55-5g-256-gb-awesome-navy-6-6-50-mp-5g--p0014103190
13899731,apple,iphone 15 pro max,1349.0,512 GB,6.7,48.0,5G,blue titanium,,5.0,,,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-15-pro-max-512-gb-titan-blau-6-7-48-mp-5g--p0013899731
1018405,apple,iphone 13,649.0,256 GB,6.1,12.0,5G,blue,4.0,5.0,7,7.0,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-13-5g-256-gb-6-1-12-mp-blau--p0002866484
14070438,samsung,galaxy s24 ultra,1299.0,512 GB,6.8,200.0,5G,titanium black,,5.0,7,7.0,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/samsung-galaxy-s24-ultra-512-gb-titanium-black-6-8-200-mp-5g--p0014070438
9071631,apple,iphone 14,729.0,256 GB,6.1,12.0,5G,blue,,5.0,7,7.0,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-14-5g-256-gb-6-1-12-mp-blau--p0009071631
14070427,samsung,galaxy s24,799.0,256 GB,6.2,50.0,5G,marble gray,,5.0,7,7.0,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/samsung-galaxy-s24-256-gb-marble-gray-6-2-50-mp-5g--p0014070427
13899735,apple,iphone 15 pro max,1599.0,1 TB,6.7,48.0,5G,titanium white,,5.0,7,7.0,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-15-pro-max-1-tb-titan-weiss-6-7-48-mp-5g--p0013899735
13899729,apple,iphone 15 pro max,1349.0,512 GB,6.7,48.0,5G,titanium white,,,,,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-15-pro-max-512-gb-titan-weiss-6-7-48-mp-5g--p0013899729
14082859,xiaomi,redmi note 13,199.95,256 GB,6.67,108.0,,midnight black,,5.0,7,7.0,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/xiaomi-redmi-note-13-256-gb-midnight-black-6-67-108-mp--p0014082859
9071629,apple,iphone 14,729.0,256 GB,6.1,12.0,5G,violet,,5.0,7,7.0,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-14-5g-256-gb-6-1-12-mp-violett--p0009071629
