id,brand,model,price,screen,camera,network,color,number_reviews,delivery_time,pickup_time,date,memory_GB,rating100,screen_price_ratio
6242467.0,APPLE,iPhone SE 2022,429.0,"4.7""",12 MP,5G,(PRODUCT)RED,,1.0,1.0,2024-04-11,128.0,100.0,0.010955710955710955
6242466.0,APPLE,iPhone SE 2022,429.0,"4.7""",12 MP,5G,Polarstern,,1.0,1.0,2024-04-11,128.0,100.0,0.010955710955710955
14103187.0,SAMSUNG,Galaxy A35 5G,359.95,"6.6""",50 MP,5G,Awesome Navy,,1.0,1.0,2024-04-11,128.0,,0.018335879983331017
14070441.0,SAMSUNG,Galaxy S24 Ultra,1499.0,"6.8""",200 MP,5G,Titanium Gray,,1.0,1.0,2024-04-11,1000.0,100.0,0.0045363575717144765
1000445.0,NOKIA,225 4G,59.9,"2.4""",0.3 MP,,Schwarz,5.0,1.0,1.0,2024-04-11,0.064,80.0,0.04006677796327212
13899711.0,APPLE,iPhone 15 Pro,1499.0,"6.1""",48 MP,5G,Titan Weiss,,1.0,1.0,2024-04-11,1000.0,,0.004069379586390927
997905.0,APPLE,iPhone 12,459.0,"6.1""",12 MP,5G,Violett,,1.0,1.0,2024-04-11,64.0,100.0,0.013289760348583876
13899672.0,APPLE,iPhone 15 Plus,849.0,"6.7""",48 MP,5G,Grün,,1.0,1.0,2024-04-11,128.0,,0.007891637220259129
997921.0,APPLE,iPhone 12,459.0,"6.1""",12 MP,5G,Schwarz,5.0,1.0,1.0,2024-04-11,64.0,90.0,0.013289760348583876
14082867.0,XIAOMI,Redmi Note 13 Pro,279.95,"6.67""",200 MP,,Lavender Purple,,1.0,1.0,2024-04-11,256.0,,0.023825683157706733
13685804.0,SAMSUNG,Galaxy A34 5G,319.95,"6.6""",48 MP,5G,Awesome Graphite,3.0,1.0,1.0,2024-04-11,128.0,90.0,0.02062822315986873
14082855.0,XIAOMI,Redmi Note 13 Pro,279.95,"6.67""",200 MP,,Midnight black,,1.0,1.0,2024-04-11,256.0,,0.023825683157706733
14070421.0,SAMSUNG,Galaxy S24,799.0,"6.2""",50 MP,5G,Amber Yellow,,1.0,1.0,2024-04-11,256.0,60.0,0.007759699624530663
13433125.0,NOKIA,C21,79.95,"6.5""",8 MP,,Dunkelblau,,1.0,1.0,2024-04-11,32.0,,0.08130081300813008
13899648.0,APPLE,iPhone 15,749.0,"6.1""",48 MP,5G,Grün,,1.0,1.0,2024-04-11,128.0,100.0,0.008144192256341788
14082854.0,XIAOMI,Redmi 13C,149.95,"6.74""",50 MP,,Grün,,1.0,1.0,2024-04-11,256.0,,0.04494831610536846
14070446.0,SAMSUNG,Galaxy S24 Ultra,1199.0,"6.8""",200 MP,5G,Titanium Black,,1.0,1.0,2024-04-11,256.0,100.0,0.00567139282735613
14082859.0,XIAOMI,Redmi Note 13,199.95,"6.67""",108 MP,,Midnight black,,1.0,1.0,2024-04-11,256.0,100.0,0.03335833958489622
997929.0,APPLE,iPhone 12,519.0,"6.1""",12 MP,5G,Weiss,7.0,1.0,1.0,2024-04-11,128.0,100.0,0.011753371868978804
14082840.0,XIAOMI,Redmi Note 13 Pro+,399.95,"6.67""",200 MP,5G,Moonlight White,,1.0,1.0,2024-04-11,512.0,,0.01667708463557945
14070439.0,SAMSUNG,Galaxy S24 Ultra,1299.0,"6.8""",200 MP,5G,Titanium Yellow,,1.0,1.0,2024-04-11,512.0,,0.005234795996920708
14088779.0,SAMSUNG,Galaxy XCover 7 Enterprise Edition,329.0,"6.6""",50 MP,,Schwarz,,1.0,1.0,2024-04-11,128.0,,0.020060790273556228
14040956.0,SAMSUNG,Galaxy A25 5G,269.95,"6.5""",50 MP,5G,Schwarzblau,,1.0,1.0,2024-04-11,128.0,,0.02407853306167809
13800548.0,SAMSUNG,Galaxy A54,419.95,"6.4""",50 MP,5G,Awesome Graphite,9.0,1.0,1.0,2024-04-11,256.0,90.0,0.015239909513037268
14070434.0,SAMSUNG,Galaxy S24+,1049.0,"6.7""",50 MP,5G,Onyx Black,,1.0,1.0,2024-04-11,512.0,100.0,0.006387035271687321
13899712.0,APPLE,iPhone 15 Pro,1499.0,"6.1""",48 MP,5G,Titan Natur,,,,2024-04-11,1000.0,100.0,0.004069379586390927
979869.0,APPLE,iPhone 11,449.0,"6.1""",12 MP,,Weiss,12.0,1.0,1.0,2024-04-11,128.0,100.0,0.013585746102449888
14040955.0,SAMSUNG,Galaxy S23 FE,499.0,"6.4""",50 MP,5G,Mint,,1.0,1.0,2024-04-11,128.0,,0.01282565130260521
14103196.0,SAMSUNG,Galaxy A55 5G,479.95,"6.6""",50 MP,5G,Awesome Lemon,,1.0,1.0,2024-04-11,256.0,,0.013751432440879258
14110925.0,NOTHING,Phone 2a,379.95,"6.7""",50 MP,,Schwarz,,14.0,14.0,2024-04-11,256.0,,0.017633899197262798
