id,brand,model,price,memory,screen,camera,network,color,number_reviews,rating,delivery_time,pickup_time,date,webpage
1018405,APPLE,iPhone 13,649.0,256 GB,"6.1""",12 MP,5G,Blau,4,5.0,morgen geliefert,morgen abholbereit,2024-04-11,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-13-5g-256-gb-6-1-12-mp-blau--p0002866484
13899734,APPLE,iPhone 15 Pro Max,1599.0,1 TB,"6.7""",48 MP,5G,Titan Schwarz,,5.0,,,2024-04-11,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-15-pro-max-1-tb-titan-schwarz-6-7-48-mp-5g--p0013899734
13899646,APPLE,iPhone 15,749.0,128 GB,"6.1""",48 MP,5G,Gelb,,,morgen geliefert,morgen abholbereit,2024-04-11,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-15-128-gb-gelb-6-1-48-mp-5g--p0013899646
1018397,APPLE,iPhone 13,549.0,128 GB,"6.1""",12 MP,5G,(PRODUCT)RED,4,5.0,morgen geliefert,morgen abholbereit,2024-04-11,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-13-128-gb-product-red-6-1-12-mp-5g--p0002866476
13899676,APPLE,iPhone 15 Plus,949.0,256 GB,"6.7""",48 MP,5G,Schwarz,,5.0,morgen geliefert,morgen abholbereit,2024-04-11,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-15-plus-256-gb-schwarz-6-7-48-mp-5g--p0013899676
14074049,SAMSUNG,Galaxy A15,179.95,128 GB,"6.5""",50 MP,,Gelb,,,morgen geliefert,morgen abholbereit,2024-04-11,https://www.interdiscount.ch/de/smartphone--c411000/samsung-galaxy-a15-128-gb-gelb-6-5-50-mp--p0014074049
14082852,XIAOMI,Redmi 13C,149.95,256 GB,"6.74""",50 MP,,Blau,,,morgen geliefert,morgen abholbereit,2024-04-11,https://www.interdiscount.ch/de/smartphone--c411000/xiaomi-redmi-13c-256-gb-blau-6-74-50-mp--p0014082852
14040952,SAMSUNG,Galaxy S23 FE,629.0,256 GB,"6.4""",50 MP,5G,Graphite,,,morgen geliefert,morgen abholbereit,2024-04-11,https://www.interdiscount.ch/de/smartphone--c411000/samsung-galaxy-s23-fe-256-gb-graphite-6-4-50-mp-5g--p0014040952
13899704,APPLE,iPhone 15 Pro,1279.0,512 GB,"6.1""",48 MP,5G,Titan Schwarz,,,,,2024-04-11,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-15-pro-512-gb-titan-schwarz-6-1-48-mp-5g--p0013899704
13685801,SAMSUNG,Galaxy S23 Ultra,849.0,256 GB,"6.8""",200 MP,5G,Grün,4,5.0,morgen geliefert,morgen abholbereit,2024-04-11,https://www.interdiscount.ch/de/smartphone--c411000/samsung-galaxy-s23-ultra-5g-256-gb-6-8-200-mp-gr%C3%BCn--p0013685801
